ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:01001097	tectonic plate	BFO:0000050 some ENVO:01000646|ENVO:00000191|RO:0002131 some ENVO:01001098	 some lithosphere| some tectonic plate boundary|solid astronomical body part			A part of a lithosphere which is separated by other such parts by geographic faults or similar geomorphological discontinuities.
ENVO:01001098	tectonic plate boundary	ENVO:01000408|RO:0002131 some ENVO:01001097|RO:0002180 min 2 ENVO:01001097|RO:0002354 some ENVO:01001093	 min 2 tectonic plate| some tectonic movement| some tectonic plate|environmental zone			A geomorphological feature which is formed where two or more tectonic plates move towards, away from, or along one another, resulting in deformation of the lithosphere.
ENVO:01001099	divergent plate boundary	BFO:0000067 some ENVO:01001095|ENVO:01001098	 some divergent tectonic movement|tectonic plate boundary	constructive boundary|constructive plate boundary|divergent boundary|extensional boundary|extensional plate boundary		A geomorphological feature which is formed where two or more tectonic plates are actively moving away from one another, resulting in deformation of the lithosphere that forms rifts or ridges.
ENVO:01001103	detritus	ENVO:01000155	organic material			An organic material which is primarily composed of dead particulate matter.
ENVO:01001104	rift zone	BFO:0000067 some ENVO:01001095|ENVO:01001784	 some divergent tectonic movement|compound astronomical body part	rift	obo:subsets/envo-basic.obo#envoPolar	A compound astronomical body part in which extensional tectonic processes occur and where the lithosphere is being pulled apart.
ENVO:01001110	ecosystem	ENVO:01000254	environmental system			An environmental system which includes both living and non-living components.
ENVO:01001125	ice	ENVO:01000814	solid environmental material			An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forces or pressure.
ENVO:01001164	geodiversity					A quality which inheres in a astronomical body or astronomical body part by virtue of the variation in its material composition, participation in geological processes, and the variation in is land- and hydroforms.
ENVO:01001191	water surface	ENVO:01001310|RO:0002473 some ENVO:00002006	 some liquid water|liquid surface layer	surface of a body of water|water body surface		The surface layer of a volume of water.
ENVO:01001199	terrestrial environmental zone	BFO:0000050 some ENVO:00000446|ENVO:01000408	 some terrestrial biome|environmental zone			An environmental zone which is bounded by material parts of a land mass or the atmosphere or space adjacent to it.
ENVO:01001201	marine environmental zone	BFO:0000050 some ENVO:01000320|ENVO:01000813	 some marine environment|astronomical body part			An astronomical body part which is part of a marine environment.
ENVO:01001209	wetland ecosystem	ENVO:01001110	ecosystem	EstuarineWetland|LacustrineWetland|MarineWetland|PalustrineWetland|RiparianWetland|TerrestialWetland|WETLAND|Wetland|back marsh|backswamp|backwater|barrier flat|blanket bog|bog|bog|cienaga|dismal|everglade|floating marsh|forested wetland|marsh|mire|mire|moor|morass|mud flat|muskeg|peat cutting area|peatland|quagmire|quagmire|quaking bog|riparian area|slash|slough|slough|slough|slue|swamp forest|tulelands		A terrestrial ecosystem which is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances does support, a prevalence of vegetation typically adapted for life in saturated soil conditions.
ENVO:01001220	water accumulation process	ENVO:01001856|RO:0000057 some ENVO:00002006|RO:0002234 some ENVO:00000063	 some liquid water| some water body|liquid accumulation process			A process during which liquid water accumulates in a site, most often in some form of container.
ENVO:01001239	forest canopy	BFO:0000050 some ENVO:01001243|ENVO:01001242	 some forest ecosystem|canopy			
ENVO:01001242	canopy	ENVO:01000355	vegetation layer			A vegetation layer which is formed by a collection of individual plant crowns, themselves constituting part of the aboveground portion of a plant community.
ENVO:01001243	forest ecosystem	BFO:0000051 some ENVO:01001239|ENVO:01001790	 some forest canopy|terrestrial ecosystem			An ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities form continuous or discontinuous regions of canopy cover.
ENVO:01001273	liquid layer	ENVO:01001678	fluid layer			A layer which is primarily composed of some liquid material.
ENVO:01001274	material isosurface	ENVO:01000281	layer			A layer throughout which one or more qualities (e.g. pressure, temperature, velocity, density) maintain an approximately constant value.
ENVO:01001275	solid layer	ENVO:01000281	layer			A layer which is primarily composed of some solid material, allowing for non-solid parts such as interstitial pockets of gas or liquid.
ENVO:01001276	water ice layer	ENVO:01001609	cryospheric layer			A solid layer which is primarily composed of some water-based ice.
ENVO:01001301	aquatic estuarine layer	BFO:0000050 some ENVO:00000045|ENVO:01000325|RO:0002473 some ENVO:01000301	 some estuarine water| some estuary|aquatic layer		obo:subsets/envo-basic.obo#envoMarine|obo:subsets/envo-basic.obo#envoPolar	A layer of liquid that is part of an estuary.
ENVO:01001303	environmental role				obo:subsets/envo-basic.obo#envoPolar	A role which is may be realised by an environmental system
ENVO:01001305	vegetated area	ENVO:01001199	terrestrial environmental zone		obo:subsets/envo-basic.obo#envoPolar	A vegetated area is a geographic feature which has ground cover dominated by plant communities.
ENVO:01001308	hydroform	BFO:0000067 some ENVO:01000982	 some water flow process			A liquid astronomical body part which is primarily composed of a continuous volume of liquid water and is held in shape or sustained by an environmental process.
ENVO:01001310	liquid surface layer	ENVO:01001673	fluid surface layer			A surface layer which is composed primarily of some liquid.
ENVO:01001311	solid surface layer	ENVO:00010504	surface layer			A surface layer which is composed primarily of solid environmental material.
ENVO:01001330	nitrogen cycling	ENVO:02500009	biogeochemical cycling	nitrogen cycle	obo:subsets/envo-basic.obo#envoPolar	A biogeochemical cycle which has nitrogen-bearing chemical entities as participants.
ENVO:01001331	sulfur cycling	ENVO:02500009	biogeochemical cycling	sulfur cycle|sulphur cycling	obo:subsets/envo-basic.obo#envoPolar	A biogeochemical cycle which has sulfur-bearing chemical entities as participants.
ENVO:01001332	phosphorous cycling	ENVO:02500009	biogeochemical cycling	phosphorous cycle	obo:subsets/envo-basic.obo#envoPolar	A biogeochemical cycle which has phosphorous-bearing chemical entities as participants.
ENVO:01001345	floating ice mass	ENVO:01000293	ice mass			An ice mass which is suspended in a water body, being sufficiently buoyant for part of the mass to breach the surface of that water body.
ENVO:01001346	erosion	ENVO:03000010|RO:0000057 some ENVO:00010483|RO:0000057 some ENVO:01000638	 some environmental material| some planetary crust|material transport process			An action of exogenic processes (such as water flow or wind) which remove environmental material from one location on the surface of an astronomical body, transporting it to another location where it is deposited.
ENVO:01001349	material decumulation zone	BFO:0000067 some ENVO:03000016|ENVO:01000408	 some material decumulation process|environmental zone	decumulation zone		A zone in which processes resulting in the removal of one or more environmental materials have higher rates than pocesses which result in their deposition and accumulation.
ENVO:01001351	ice decumulation zone	BFO:0000067 some ENVO:01000915|ENVO:01001349	 some ice loss process|material decumulation zone	area of ice loss|ice decumulation area|ice loss zone|zone of ice loss		A material decumulation zone in which the rates of ice formation processes are below those of ice decumulation processes, leading to a net decrease in some mass of ice.
ENVO:01001364	climate system	ENVO:01000254	environmental system			A system which consists of an atmosphere, hydrosphere, cryosphere, land surface, and  biosphere, forced or influenced by external processes.
ENVO:01001370	tundra ecosystem	ENVO:01001790|RO:0002131 some ENVO:00000112	 some area of tundra|terrestrial ecosystem		obo:subsets/envo-basic.obo#envoPolar	An ecosystem which 1) typically has monthly average temperatures below 10 degrees Celsius 2) has a low evapotranspiration ratio 3) is dominated by treeless terrain, covered by communities of low-growing vegetation such as dwarf shrubs, sedges and grasses, mosses, and lichens, 4) contains areas of soil underlain by permafrost with a thin active layer and 5) occurs in both polar and alpine regions (i.e., both high latitudes and high altitudes), and 5) does not have permanent snow or ice cover.
ENVO:01001371	alpine tundra ecosystem	ENVO:01001370|RO:0000086 some ENVO:01000340|RO:0002131 some ENVO:03400001	 some alpine| some area of alpine tundra|tundra ecosystem		obo:subsets/envo-basic.obo#envoPolar	A tundra ecosystem which exists at high altitudes and where vegetation is stunted due to low temperatures and high winds.
ENVO:01001378	marine bed	ENVO:00000501|RO:0002220 some ENVO:00001999	 some marine water body|submerged bed	sea bottom		A submerged bed which underlies a marine water body.
ENVO:01001428	water-based cloud	BFO:0000051 some ENVO:01000833|ENVO:01000760	 some water droplet|cloud	cloud mass	obo:subsets/envo-basic.obo#envoAtmo	A cloud which is primarily composed of water-based aerosols.
ENVO:01001434	anthropogenic ecosystem conversion process	ENVO:02500027	anthropogenic environmental process			A process during which an ecosystem - natural or anthropised - is changed by the actions of humans.
ENVO:01001454	polar mountain	ENVO:00000081	mountain		obo:subsets/envo-basic.obo#envoPolar	A mountain that is part of a polar environment.
ENVO:01001476	body of liquid	ENVO:01001477	liquid astronomical body part			A liquid astronomical body part which is continuous and is delimited by physical discontinuities or non-liquid boundaries.
ENVO:01001477	liquid astronomical body part	ENVO:01001479	fluid astronomical body part			A part of an astronomical body which is primarily composed of liquid material.
ENVO:01001479	fluid astronomical body part	ENVO:01000813	astronomical body part			A part of an astronomical body which is primarily composed of fluid.
ENVO:01001483	surface of an astronomical body	ENVO:00010504	surface layer	land surface		A surface layer where the solid or liquid material of an astronomical body comes into contact with an atmosphere or outer space.
ENVO:01001491	flattened elevation	ENVO:00000176	elevated landform			An elevation which is flattened across its highest surface.
ENVO:01001505	alpine tundra biome	ENVO:01000180|RO:0000086 some ENVO:01000340	 some alpine|tundra biome	mountain tundra	obo:subsets/envo-basic.obo#envoPolar	A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.
ENVO:01001510	material congelation process	ENVO:03000043	material transformation process	congelation|congelation process		A material transformation process during which a material's viscosity increase either through a reduction in temperature, through chemical reactions, or other physical effects.
ENVO:01001517	drift ice mass	ENVO:01001345	floating ice mass	drift ice		A floating mass of ice which is 1) unattached to land or land-fast ice and 2) moved by the action of winds or currents.
ENVO:01001522	fast ice	ENVO:01001536	sea ice mass			A mass of sea ice which 1) is less than 2 meters in thickness and 2) forms along the coast, where it is attached to the shore, to an ice wall, to an ice front, or between shoals or grounded icebergs.
ENVO:01001523	frazil	ENVO:01001307 some ENVO:00002006|ENVO:03000063|RO:0001000 some ENVO:00002011	 some fresh water|new ice|partially_surrounded_by some liquid water	frazil crystals|needle ice	obo:subsets/envo-basic.obo#envoPolar	Small, needle-like (spicules), plate-like, or discoid crystals derived from nearly pure fresh water, suspended in a water body.
ENVO:01001524	frozen land	ENVO:01001785	land	frozen ground		Land which is below the freezing point of water.
ENVO:01001526	frozen soil	BFO:0000050 some ENVO:01001524|ENVO:00001998	 some frozen land|soil			Soil which is below the freezing point of water.
ENVO:01001533	mass ice flow	ENVO:03000010|RO:0000053 some ENVO:01003012|RO:0000057 some ENVO:01000293	 some advective| some ice mass|material transport process			An advective transport process during which a mass of ice is transported from one location to another.
ENVO:01001534	tabular iceberg	ENVO:00000298	marine iceberg	barrier iceberg|table iceberg|tabular berg	obo:subsets/envo-basic.obo#envoPolar	An iceberg which 1) has a flat upper surface, 2) is derived from an ice shelf, ice tongue, or floating tidewater glacier via detachment.
ENVO:01001535	floeberg	BFO:0000051 some ENVO:01001537|ENVO:01001536|RO:0002473 some ENVO:00002200	 some sea ice| some sea ice hummock|sea ice mass		obo:subsets/envo-basic.obo#envoPolar	An ice mass which is composed of a large amount of sea ice in the form of a hummock or a group of such hummocks, frozen together and separated from any surrounding ice by sea water.
ENVO:01001536	sea ice mass	ENVO:01000293	ice mass			An ice mass which is composed primarily of sea ice.
ENVO:01001537	sea ice hummock	ENVO:01001884|RO:0002473 some ENVO:00002200	 some sea ice|surface landform		obo:subsets/envo-basic.obo#envoPolar	An elevation which is formed by pressure at the point of contact between ice floes, resulting in a conglomeration of broken ice.
ENVO:01001538	frost-formed hummock	ENVO:00000516|RO:0002354 some ENVO:04000001	 some frost heaving process|hummock	hummock	obo:subsets/envo-basic.obo#envoPolar	A hummock which is primarily composed of soil that has been pushed up by frost action.
ENVO:01001542	ice surface layer	ENVO:01001311|RO:0002473 some ENVO:01001125	 some ice|solid surface layer			A surface layer which is composed primarily of ice.
ENVO:01001546	iceberg	ENVO:01001547	land ice mass		obo:subsets/envo-basic.obo#envoPolar	An ice mass which has broken away from a larger ice mass on land, such as a glacier or ice shelf, and may be either afloat or aground.
ENVO:01001547	land ice mass	ENVO:01000293	ice mass		obo:subsets/envo-basic.obo#envoPolar	An ice mass which has formed over land.
ENVO:01001548	freezing	ENVO:01001510	material congelation process		obo:subsets/envo-basic.obo#envoPolar	A material congelation process during which a liquid turns into a solid when its temperature is lowered below its melting point.
ENVO:01001549	freezing of water into water ice	ENVO:01001548	freezing			A freezing process during which liquid water is transformed into water ice.
ENVO:01001550	sea-ice lead	ENVO:01001551	ice lead	lead	obo:subsets/envo-basic.obo#envoPolar	An ice lead which occurs in a marine water body and is bounded by sea ice.
ENVO:01001551	ice lead	ENVO:01001554|RO:0002220 some ENVO:01000293	 some ice mass|surface layer of a water body	lead	obo:subsets/envo-basic.obo#envoPolar	A surface layer of a water body which has been formed as the result of surface ice fracturing and moving apart.
ENVO:01001552	flaw lead	ENVO:01001551|RO:0002220 some ENVO:01001522|RO:0002220 some ENVO:01001556	 some fast ice| some pack ice mass|ice lead	lead	obo:subsets/envo-basic.obo#envoPolar	An ice lead between a mass of fast ice and a mass of pack ice.
ENVO:01001553	shore lead	ENVO:01001551|RO:0002220 some ENVO:00000304|RO:0002220 some ENVO:01001556	 some pack ice mass| some shore|ice lead	lead	obo:subsets/envo-basic.obo#envoPolar	An ice lead which occurs between the shore and pack ice.
ENVO:01001554	surface layer of a water body	BFO:0000050 some ENVO:00000063|ENVO:01001191	 some water body|water surface			A water surface that is part of a water body.
ENVO:01001555	frozen lead	ENVO:01001551	ice lead	lead	obo:subsets/envo-basic.obo#envoPolar	An ice lead within which new, nilas, and young ice has formed.
ENVO:01001556	pack ice mass	ENVO:01001517	drift ice mass	drift ice		A drift ice mass which has an ice concentration above or equal to 7/10: which covers 70% or more of a given area of a water body.
ENVO:01001557	water-body-derived ice	ENVO:01000277	water ice			Ice which has formed as the result of freezing of water which was part of a water body.
ENVO:01001559	cryopeg	BFO:0000050 some ENVO:00000134|ENVO:01001609	 some permafrost|cryospheric layer		obo:subsets/envo-basic.obo#envoNceas|obo:subsets/envo-basic.obo#envoPolar	A layer which is composed of ground that 1) remains unfrozen due to increased solute concentration and 2) is present within a mass of permafrost.
ENVO:01001564	rain	RO:0000056 some ENVO:01000875|RO:0002351 some ENVO:01000832	 some precipitation process| some raindrop			An aggregate of raindrops falling to a planetary surface during a precipitation process.
ENVO:01001565	water-based rain	ENVO:01001564|RO:0000056 some ENVO:01000830|RO:0002351 some ENVO:01000834	 some water raindrop| some water-based rainfall|rain			Rain which is composed of water droplets falling to a planetary surface during a rainfall process.
ENVO:01001567	protected area	ENVO:01003020	fiat part of an astronomical object	preserve|reserve		An environmental zone which 1) contains ecosystems, constructed features, or other entities deemed to be of natural, historical, cultural, or other significance and 2) has been afforded legal protections restricting one or more forms of use by a competent authority.
ENVO:01001568	frost heave			frost heaving	obo:subsets/envo-basic.obo#envoNceas|obo:subsets/envo-basic.obo#envoPolar	An elevation which is formed as an ice mass forms under soil, resulting in upwards deformation of the land surface.
ENVO:01001581	sea surface layer	ENVO:01001554	surface layer of a water body		obo:subsets/envo-basic.obo#envoMarine|obo:subsets/envo-basic.obo#envoPlastics	A surface layer which is part of an ocean or sea.
ENVO:01001607	water current	ENVO:01001308	hydroform			A hydroform which is maintained by a continuous, directed movement of water, generated by disequilibria in a water mass.
ENVO:01001609	cryospheric layer	ENVO:01000281	layer		obo:subsets/envo-basic.obo#envoPolar	A layer which is part of a cryosphere.
ENVO:01001610	active layer in a cryosphere	ENVO:01001609	cryospheric layer	active layer	obo:subsets/envo-basic.obo#envoPolar	A layer of environmental material which is subject to freeze-thaw cycles.
ENVO:01001611	thawing process	ENVO:01001612	material warming process	thawing		A warming process during which the thermal energy in a portion of environmental material is sufficient to melt water-based ice or snow.
ENVO:01001612	material warming process	ENVO:03000043	material transformation process			A process during which the temperature of a portion of environmental material is increased, along with the kinetic energy of its constituent molecules.
ENVO:01001613	permafrost thawing process	ENVO:01001611	thawing process		obo:subsets/envo-basic.obo#envoPolar	A thawing process during which permafrost is warmed beyond the melting point of water-based ice, snow, or other forms of solid water.
ENVO:01001617	snow accumulation process	ENVO:03000009|RO:0000057 some ENVO:00010504|RO:0000057 some ENVO:01000406|RO:0002297 some ENVO:03000111	 some snow| some snow mass| some surface layer|material accumulation process			A material accumulation process during which the mass of snow on a surface increases.
ENVO:01001618	ice accumulation process	ENVO:03000009|RO:0000057 some ENVO:01000277	 some water ice|material accumulation process			A material accumulation process during which ice forms in an environmental material or an existing accumulation of ice increases in mass.
ENVO:01001621	englacial					A positional quality inhering in a bearer by virtue of the bearer being located within a glacier or ice sheet, between their summer surface or bed.
ENVO:01001641	glaciation	BFO:0000050 some ENVO:01001643|BFO:0000051 some ENVO:03000029	 some glacial ice gain| some ice age	glacial|glacial period|glacierisation	obo:subsets/envo-basic.obo#envoPolar	An interval of time within an ice age and during which temperatures fall resulting in planet-wide glacier advances.
ENVO:01001642	interglacial	BFO:0000050 some ENVO:01001643|BFO:0000051 some ENVO:03000017	 some glacial ice loss| some ice age	interglacial period	obo:subsets/envo-basic.obo#envoPolar	An interval of time within an ice age and during which temperatures rise and result in planet-wide glacier retreat.
ENVO:01001643	ice age					A temporal interval during which a planet's surface and atmospheric temperatures fall, resulting in the presence or expansion of continental and polar ice sheets or alpine glaciers.
ENVO:01001660	frost action process	BFO:0000051 some ENVO:01001549|ENVO:03000010	 some freezing of water into water ice|material transport process			A material transport process during which alternate freezing and thawing of moisture in soil, rock and other materials results  modifications of those materials and in the formation of structures on, or in, the ground.
ENVO:01001664	cryoturbation of soil	ENVO:01001660|RO:0000057 some ENVO:00001998|RO:0002234 some ENVO:01001665	 some soil| some soil cryoturbate|frost action process			A frost action process during which soil is displaced.
ENVO:01001665	soil cryoturbate	ENVO:00000191|RO:0002353 some ENVO:01001664	 some cryoturbation of soil|solid astronomical body part			A mass of soil moved or disturbed by frost action.
ENVO:01001673	fluid surface layer	ENVO:00010504	surface layer			A surface layer which is composed primarily of some liquid or gas.
ENVO:01001674	lysocline	ENVO:01000258	fluid cline			A cline across which one or more solid environmental materials dissolve into their surrounding fluid.
ENVO:01001675	nutricline	ENVO:01000258	fluid cline			A cline across which nutrient content of a fluid changes rapidly.
ENVO:01001677	fluid interface layer	ENVO:01001684	interface layer			A surface layer which separates two portions of fluid with respect to either 1) a discontinuity of some fluid property or 2) some derivative of one of these properties in a direction normal to the interface.
ENVO:01001678	fluid layer	ENVO:01000281	layer			A layer which is composed primarily of some fluid.
ENVO:01001679	fluid front	ENVO:01001677	fluid interface layer			A fluid interface which separates two fluid masses with differing properties.
ENVO:01001681	weather front	RO:0002220 min 2 ENVO:01001682|RO:0002500 some ENVO:02500003	 min 2 air mass| some atmospheric process	meteorological front	obo:subsets/envo-basic.obo#envoAtmo	A gaseous front which separates two masses of air with different densities and is a principal cause of meteorological phenomena.
ENVO:01001682	air mass				obo:subsets/envo-basic.obo#envoAtmo	An object which is composed of a continuous mass of air.
ENVO:01001684	interface layer	ENVO:01000281	layer			A layer which separates two portions of environmental material which possess 1) differing compositions, 2) a discontinuity of some property, or 3) some derivative of some property in a direction normal to the interface.
ENVO:01001686	mass of environmental material					An object which is composed primarily of an environmental material
ENVO:01001687	mass of solid material	ENVO:01001686	mass of environmental material			An mass of environmental material which is composed primarily of a solid environmental material
ENVO:01001688	mass of fluid	ENVO:01001686	mass of environmental material	fluid mass		An object which is composed primarily of a fluid.
ENVO:01001690	mass of liquid	ENVO:01001688	mass of fluid	liquid mass		An object which is composed primarily of a liquid.
ENVO:01001691	mass of compounded environmental materials	ENVO:01001686	mass of environmental material			An mass of environmental materials which has appreciable quantities of several individual materials, such that the removal of one would convert the mass into a different entity.
ENVO:01001694	isohaline surface	ENVO:01001274	material isosurface			A material isosurface within which salinity is approximately constant.
ENVO:01001695	isopycnal surface	ENVO:01001274	material isosurface			A material isosurface within which density is approximately constant.
ENVO:01001696	isothermal surface	ENVO:01001274	material isosurface			A material isosurface within which temperature is approximately constant.
ENVO:01001698	polar front	ENVO:01001681	weather front		obo:subsets/envo-basic.obo#envoAtmo|obo:subsets/envo-basic.obo#envoPolar	A weather front which separates air masses of tropical and polar origin.
ENVO:01001719	katabatic wind	ENVO:01000793	atmospheric wind		obo:subsets/envo-basic.obo#envoAtmo	An atmospheric wind during which cold atmospheric gas flows downwards towards the surface of an astronomical body.
ENVO:01001720	downslope katabatic wind	ENVO:01001719|RO:0000057 some ENVO:00002000	 some slope|katabatic wind		obo:subsets/envo-basic.obo#envoAtmo	A katabatic wind during which atmospheric gas flows down the slope of an elevation, typically during periods of light larger-scale winds.
ENVO:01001744	drainage wind	ENVO:01001720	downslope katabatic wind	gravity wind	obo:subsets/envo-basic.obo#envoAtmo	A downslope katabatic wind which is generated by the cooling of atmospheric gas in contact with terrain surfaces.
ENVO:01001746	glacier wind	ENVO:01001744	drainage wind		obo:subsets/envo-basic.obo#envoAtmo|obo:subsets/envo-basic.obo#envoPolar	A drainage wind which flows along the icy surface of a glacier.
ENVO:01001747	mass fluid flow	ENVO:03000010|RO:0000053 some ENVO:01003012|RO:0000057 some ENVO:02000140	 some advective| some fluid environmental material|material transport process			An advective transport process during which a fluid moves.
